file_size_mb,file_extension,upload_frequency,uploads_last_hour,uploads_last_24h,user_file_count,access_count,unique_ip_count,account_age_days,label
3.02,py,9.74,2,10,5,3,1,9,Normal
29.1,pdf,9.06,7,54,632,27,1,194,Normal
5.21,png,22.33,8,45,777,28,4,196,Normal
1.55,pdf,0.1,1,5,7,3,1,273,Normal
6.82,jpg,2.2,1,7,79,3,1,285,Normal
2.73,py,5.24,1,5,6,6,1,7,Normal
1.12,jpg,0.45,1,6,84,4,1,93,Normal
24.89,docx,49.15,14,90,279,113,5,52,Suspicious
343.94,mp4,7.04,4,14,114,10,2,111,Normal
430.57,exe,16.04,14,52,246,28,7,127,Suspicious
35.5,py,26.93,12,41,300,22,1,334,Normal
11.61,zip,34.22,10,17,498,24,1,408,Normal
42.33,zip,15.45,3,19,750,17,2,256,Normal
1.88,png,0.89,2,5,89,5,1,91,Normal
7.6,jpg,8.36,1,7,4,8,1,2,Normal
2.19,py,3.28,1,7,6,6,2,4,Normal
48.24,png,10.88,3,8,8,4,1,1,Normal
5.37,docx,14.26,5,18,454,28,3,666,Suspicious
8.08,py,27.43,26,41,340,20,2,340,Normal
8.26,docx,1.31,4,15,5,10,1,1,Normal
3.09,jpg,1.45,0,8,65,5,3,106,Normal
411.9,jpg,10.76,2,11,93,13,2,237,Normal
5.88,docx,3.17,1,7,84,2,3,154,Normal
4.53,pdf,24.5,25,45,835,20,1,138,Normal
2.53,pdf,5.28,1,8,7,2,1,7,Normal
0.61,txt,5.91,3,8,222,4,3,156,Normal
5.82,jpg,3.89,1,6,113,4,1,208,Normal
3.3,jpg,1.35,0,6,67,4,1,114,Normal
35.28,js,14.41,22,59,584,25,2,376,Normal
2.06,jpg,2.28,0,7,63,4,1,132,Normal
11.37,pdf,1.1,0,6,39,6,1,57,Normal
0.87,pdf,23.33,23,46,1031,15,2,420,Normal
8.1,py,21.11,9,48,750,21,3,249,Normal
0.34,docx,5.27,0,5,95,6,2,151,Normal
1.99,pdf,5.65,2,8,11,8,3,8,Normal
4.06,jpg,3.03,1,8,47,6,2,145,Normal
2.39,docx,3.74,1,10,5,2,2,0,Normal
152.32,mp4,7.46,2,16,113,9,1,168,Normal
0.69,docx,5.92,0,7,159,5,1,133,Normal
3.16,jpg,0.14,0,6,68,5,1,193,Normal
41.42,docx,23.71,11,54,700,27,7,310,Suspicious
68.82,wav,16.5,2,9,137,12,1,271,Normal
3.08,docx,2.49,2,3,134,6,1,209,Normal
172.06,mp4,4.24,1,16,217,16,1,194,Normal
2.43,pdf,13.37,10,73,275,14,2,353,Normal
3.08,pdf,5.06,3,11,33,5,1,317,Normal
10.29,sh,9.13,10,36,553,21,1,593,Normal
5.48,pdf,3.54,3,12,7,6,2,8,Normal
25.11,mp4,61.03,57,93,33,20,2,58,Suspicious
3.41,js,17.33,2,25,947,26,2,209,Normal
23.22,docx,2.97,2,6,5,8,2,5,Normal
2.27,txt,3.09,1,9,36,4,1,356,Normal
1.36,docx,0.1,0,6,108,4,1,176,Normal
1.14,jpg,5.15,3,12,53,4,1,278,Normal
8.67,dll,12.69,4,11,130,9,2,110,Suspicious
3.42,docx,3.84,0,5,44,4,1,128,Normal
24.29,dll,19.14,8,58,712,37,4,737,Suspicious
6.21,zip,11.8,15,33,395,19,3,275,Normal
0.53,pdf,2.35,3,8,49,6,2,284,Normal
407.05,wav,5.6,3,10,82,7,2,248,Normal
0.22,txt,0.37,0,4,135,6,1,77,Normal
2.61,py,26.12,7,33,300,21,2,253,Normal
3.58,pdf,4.42,1,9,147,6,1,258,Normal
4.11,jpg,5.28,4,13,5,8,2,5,Normal
20.3,jpg,50.61,18,120,119,64,5,33,Suspicious
0.55,jpg,5.49,2,6,110,5,1,336,Normal
5.04,png,1.02,0,5,24,4,1,156,Normal
333.49,mp4,40.25,20,37,98,54,5,321,Suspicious
141.58,exe,21.33,5,35,117,61,4,278,Suspicious
0.41,pdf,3.32,0,7,27,4,3,152,Normal
1.2,txt,3.18,0,11,56,3,2,109,Normal
9.62,scr,9.4,4,15,39,9,2,54,Suspicious
11.0,png,2.26,1,9,89,7,1,55,Normal
3.25,jpg,1.22,3,5,90,8,2,228,Normal
2.06,jpg,3.13,0,5,33,5,1,247,Normal
5.72,docx,0.65,1,3,77,7,1,122,Normal
0.58,pdf,4.22,0,8,37,5,1,66,Normal
2.01,sh,25.86,10,48,319,25,2,444,Normal
67.59,docx,23.03,21,39,230,44,3,205,Suspicious
0.42,png,2.68,0,5,66,5,1,316,Normal
27.61,json,70.37,17,120,108,35,6,16,Suspicious
8.45,jpg,4.36,0,3,64,3,1,104,Normal
0.83,pdf,0.1,0,6,74,6,1,233,Normal
402.3,mp4,17.22,2,17,528,15,1,215,Normal
1.6,json,5.76,17,56,272,17,2,411,Normal
4.07,pdf,1.05,2,8,93,2,1,59,Normal
15.8,py,11.22,5,16,234,19,4,150,Normal
1.01,txt,4.46,1,6,99,6,1,104,Normal
0.75,pdf,3.55,1,6,103,4,1,161,Normal
342.03,mp4,7.69,2,11,106,12,4,230,Normal
0.09,pdf,2.93,1,8,76,4,1,130,Normal
10.14,jpg,3.4,1,7,88,5,1,140,Normal
360.12,zip,37.19,19,64,162,22,4,87,Suspicious
0.68,docx,1.7,0,5,128,6,1,84,Normal
9.08,sh,32.41,24,50,657,24,4,118,Normal
6.82,csv,17.43,9,43,451,28,2,324,Normal
8.14,docx,3.58,0,5,157,7,1,161,Normal
0.47,docx,3.83,2,12,167,7,1,209,Normal
18.8,zip,31.21,13,32,264,18,3,286,Normal
271.31,zip,13.66,2,11,247,10,4,199,Normal
264.87,pdf,22.1,15,63,52,36,5,203,Suspicious
3.14,jpg,1.56,0,3,114,5,1,92,Normal
0.63,pdf,11.36,10,39,525,21,1,167,Normal
44.07,json,30.48,27,58,276,18,2,282,Normal
1.99,py,7.78,22,54,909,20,2,221,Normal
7.17,png,1.44,3,5,68,3,1,272,Normal
1.4,pdf,0.23,1,6,44,7,1,286,Normal
2.32,png,1.61,1,11,253,2,2,213,Normal
1.16,pdf,0.62,0,6,74,6,1,60,Normal
286.58,png,12.4,0,13,96,16,2,247,Normal
1.54,docx,4.16,1,8,17,5,1,106,Normal
2.45,jpg,5.57,3,11,3,8,1,6,Normal
1.0,docx,7.14,1,7,2,2,2,0,Normal
2.45,txt,19.78,2,37,209,25,2,249,Normal
3.26,png,11.98,30,42,463,27,1,214,Normal
2.86,docx,4.41,0,6,24,6,1,121,Normal
5.21,png,1.91,3,13,1,9,2,4,Normal
33.75,png,33.2,7,34,562,20,1,247,Normal
5.73,pdf,23.82,17,72,433,22,2,359,Normal
3.39,pdf,3.29,4,12,6,6,1,4,Normal
62.55,docx,22.48,4,22,297,33,3,760,Suspicious
3.84,jpg,6.03,4,9,90,5,2,61,Normal
195.61,png,3.89,4,13,228,11,2,65,Normal
2.14,zip,28.69,17,28,623,26,1,305,Normal
1.23,txt,0.42,2,4,39,5,1,268,Normal
0.25,pdf,2.56,1,6,113,8,1,97,Normal
4.38,json,12.22,11,44,434,20,1,291,Normal
3.03,pdf,5.07,1,2,10,4,1,251,Normal
0.6,pdf,1.36,0,3,91,8,1,63,Normal
35.73,py,2.37,3,14,115,7,1,77,Suspicious
1.95,jpg,2.4,0,4,43,7,1,275,Normal
1.99,jpg,3.75,2,10,78,3,1,163,Normal
22.81,json,21.08,6,35,411,22,5,365,Normal
24.34,jpg,1.45,1,4,83,3,2,165,Normal
7.43,pdf,1.2,0,3,61,2,1,135,Normal
1.45,js,10.08,17,50,514,31,1,324,Normal
3.78,jpg,2.92,2,7,190,4,1,94,Normal
5.0,png,4.36,1,6,265,9,2,96,Normal
3.68,docx,6.37,1,9,101,7,1,163,Normal
1.75,jpg,0.23,2,7,11,3,1,278,Normal
2.68,png,3.52,1,10,45,3,1,177,Normal
3.85,py,7.75,5,27,524,19,2,190,Normal
239.68,zip,3.42,3,14,249,6,2,56,Normal
2.51,zip,5.07,17,41,1273,25,3,380,Normal
3.66,py,9.24,5,10,5,5,2,1,Normal
15.76,docx,0.2,1,7,7,8,1,7,Normal
28.01,dll,1.73,3,5,49,9,3,82,Suspicious
4.95,txt,1.74,4,12,15,3,1,241,Normal
155.93,zip,16.47,3,15,161,14,1,177,Normal
3.17,png,4.87,1,3,47,10,2,236,Normal
7.05,xlsx,3.34,0,8,139,8,1,171,Normal
40.58,apk,7.71,4,18,121,5,1,59,Suspicious
25.81,docx,63.56,31,91,121,87,5,9,Suspicious
8.25,pdf,0.3,0,3,127,6,1,85,Normal
190.24,pdf,18.49,23,73,208,74,3,325,Suspicious
5.43,png,10.78,2,8,5,6,1,5,Normal
4.21,pdf,24.62,9,38,805,15,3,451,Normal
4.28,pdf,3.84,0,7,86,3,1,217,Normal
13.28,py,13.79,6,32,239,22,2,324,Normal
391.61,mp4,4.97,5,12,120,12,1,142,Normal
4.91,jpg,4.02,2,10,24,4,1,142,Normal
5.19,csv,29.36,1,22,442,17,1,253,Normal
2.43,jpg,2.4,0,4,98,10,2,101,Normal
1.05,csv,6.52,9,26,620,24,1,294,Normal
56.95,vbs,30.42,15,31,424,16,6,707,Suspicious
15.17,docx,77.11,46,177,102,30,3,40,Suspicious
0.86,png,4.76,0,5,52,7,3,141,Normal
2.77,py,9.22,19,47,282,19,1,323,Normal
0.36,txt,5.3,2,6,137,6,2,219,Normal
4.07,pdf,0.1,0,3,94,6,2,124,Normal
3.38,jpg,0.1,0,7,79,3,1,132,Normal
0.18,docx,5.19,0,5,183,7,1,248,Normal
2.19,pdf,3.01,0,6,144,1,1,151,Normal
11.61,zip,13.37,16,44,375,14,3,371,Suspicious
32.44,png,3.22,0,2,100,6,1,250,Normal
2.91,png,4.62,1,6,152,5,1,174,Normal
1.31,pdf,4.37,0,5,33,7,1,199,Normal
239.77,png,16.36,3,15,250,10,1,295,Normal
47.24,sh,27.22,5,25,206,23,4,207,Normal
4.32,docx,4.58,0,6,84,7,1,218,Normal
15.2,sh,35.22,9,37,384,23,1,252,Normal
23.18,zip,32.07,12,50,402,21,3,378,Normal
2.74,xlsx,3.51,2,7,119,5,1,56,Normal
10.81,png,6.37,1,6,127,5,2,188,Normal
30.26,jpg,53.82,54,151,110,107,8,40,Suspicious
213.7,mp4,10.32,1,13,274,12,1,301,Normal
2.45,png,2.33,3,10,124,6,2,48,Normal
29.06,txt,18.5,63,107,102,37,5,48,Suspicious
379.2,iso,25.1,15,42,85,26,4,265,Suspicious
4.62,json,21.97,5,35,623,18,1,458,Normal
238.25,mp4,10.26,0,12,84,14,1,145,Normal
1.99,docx,0.14,1,4,58,7,3,123,Normal
3.85,xlsx,3.63,2,7,24,4,1,133,Normal
4.23,png,18.15,12,59,493,26,2,270,Normal
0.8,exe,19.61,4,18,126,17,2,108,Suspicious
29.2,json,28.05,20,52,370,15,1,354,Normal
6.7,zip,6.99,14,25,617,21,2,218,Normal
4.93,pdf,6.36,1,7,81,2,1,198,Normal
2.79,docx,3.88,0,3,89,3,1,110,Normal
1.07,docx,5.54,0,5,164,5,2,213,Normal
10.27,pdf,1.49,1,4,116,3,1,115,Normal
128.2,zip,40.51,17,63,184,60,3,283,Suspicious
33.11,pdf,11.14,9,40,296,25,4,336,Normal
3.96,png,2.87,0,10,58,6,1,205,Normal
14.72,png,23.42,15,48,358,33,1,279,Normal
7.52,pdf,1.74,0,4,169,5,1,144,Normal
5.14,docx,1.41,0,9,5,6,2,7,Normal
11.05,png,1.45,1,2,22,4,1,81,Normal
14.21,py,20.71,21,67,488,19,2,508,Normal
3.93,pdf,8.05,4,13,4,4,1,4,Normal
3.84,png,1.55,1,3,77,4,2,211,Normal
9.32,pdf,4.93,0,2,7,6,1,7,Normal
10.91,zip,7.66,7,50,522,30,1,319,Normal
3.93,pdf,5.79,1,5,81,4,1,78,Normal
4.4,jpg,47.48,32,193,113,79,4,47,Suspicious
3.32,docx,1.13,0,3,49,6,1,97,Normal
11.97,docx,4.12,0,5,86,7,1,90,Normal
311.45,zip,5.28,3,13,350,8,1,250,Normal
12.31,pdf,29.77,10,86,490,24,1,233,Normal
3.88,txt,15.97,25,54,223,23,5,168,Normal
0.83,jpg,4.2,1,5,22,1,1,296,Normal
0.57,jpg,1.05,0,1,26,7,1,129,Normal
3.7,docx,4.18,2,7,61,3,1,151,Normal
3.58,png,3.24,2,9,206,8,1,129,Normal
9.59,js,9.13,17,50,804,26,2,475,Normal
49.62,py,21.06,11,54,418,32,4,153,Suspicious
9.1,pdf,3.69,1,6,2,8,1,9,Normal
0.27,jpg,11.19,3,12,1,5,1,4,Normal
7.84,pdf,2.27,2,10,78,6,1,194,Normal
1.0,pdf,4.33,2,4,46,6,1,79,Normal
160.65,mp4,5.32,2,16,114,7,2,235,Normal
4.32,png,2.25,1,5,83,4,2,204,Normal
61.96,docx,25.5,8,20,197,26,5,738,Suspicious
18.54,pdf,9.43,3,7,4,10,1,7,Normal
2.67,py,11.11,6,93,545,17,1,546,Normal
0.52,png,2.81,0,3,27,2,1,248,Normal
2.36,jpg,1.53,0,4,52,6,1,121,Normal
4.73,docx,6.49,1,6,7,8,1,3,Normal
3.38,txt,3.09,0,4,53,4,1,110,Normal
1.85,txt,0.1,0,12,23,6,1,250,Normal
1.75,dll,7.45,4,13,18,14,2,7,Suspicious
35.32,js,29.78,24,37,413,18,1,443,Normal
8.49,js,9.97,9,28,501,19,1,505,Normal
7.88,png,22.95,13,56,316,18,5,294,Suspicious
26.51,csv,29.55,14,86,1127,22,5,225,Normal
1.12,docx,1.42,0,5,60,9,1,160,Normal
5.09,docx,6.55,3,8,147,3,1,287,Normal
371.89,zip,11.79,3,17,275,12,2,119,Normal
1.93,png,5.67,3,9,178,9,2,124,Normal
5.98,png,0.1,1,10,7,5,1,125,Normal
2.86,py,4.15,21,65,660,25,2,129,Normal
13.76,txt,50.65,35,167,112,40,5,36,Suspicious
269.26,mp4,5.4,3,14,191,5,1,110,Normal
15.8,docx,18.11,31,101,163,88,6,60,Suspicious
4.01,sh,18.78,12,38,365,23,2,288,Normal
394.17,docx,42.43,18,71,95,70,5,147,Suspicious
5.51,pdf,1.23,1,7,2,6,1,4,Normal
309.43,pdf,28.37,11,62,213,49,3,97,Suspicious
4.59,png,6.59,1,5,6,6,1,8,Normal
4.01,docx,5.87,1,6,90,7,2,52,Normal
1.56,docx,12.35,2,10,8,6,2,5,Normal
0.24,png,0.95,0,6,82,7,1,267,Normal
1.39,jpg,9.57,1,4,5,8,2,4,Normal
1.11,docx,9.18,2,8,5,6,2,9,Normal
4.5,pdf,4.62,1,7,95,3,1,172,Normal
399.44,zip,8.98,0,10,472,11,1,124,Normal
11.16,docx,6.05,1,6,57,5,1,325,Normal
2.63,txt,2.17,0,10,62,7,2,182,Normal
9.02,sh,33.99,6,30,476,29,3,308,Normal
0.46,jpg,4.22,0,2,64,5,1,201,Normal
3.36,docx,9.45,1,7,2,12,1,1,Normal
5.76,pdf,3.05,0,4,65,2,1,161,Normal
453.88,wav,12.95,3,14,52,13,3,223,Normal
262.02,mp4,14.8,1,8,111,16,2,248,Normal
2.47,jpg,0.1,2,9,75,6,1,188,Normal
0.29,png,4.28,1,2,157,6,1,142,Normal
10.27,py,28.25,5,40,327,19,2,286,Normal
10.06,jpg,5.88,1,12,3,10,1,2,Normal
8.04,png,4.16,3,8,109,9,1,106,Normal
315.75,wav,12.14,5,24,89,13,4,276,Normal
3.17,docx,5.25,1,4,4,8,1,5,Normal
3.96,pdf,5.06,0,8,21,9,1,175,Normal
257.84,wav,18.47,0,17,187,9,1,232,Normal
3.04,pdf,2.02,1,5,32,6,1,235,Normal
16.41,zip,25.31,19,60,952,22,2,350,Normal
2.48,docx,0.1,0,7,45,11,2,348,Normal
247.82,jpg,12.09,1,10,274,16,2,155,Normal
1.17,png,4.77,0,4,80,4,3,372,Normal
1.96,png,4.68,1,4,60,6,1,83,Normal
8.28,sh,4.92,9,22,207,19,1,143,Normal
1.66,docx,5.65,0,3,25,2,2,222,Normal
19.74,py,31.37,33,47,150,28,2,385,Normal
9.4,pdf,6.1,0,2,3,8,1,6,Normal
5.94,xlsx,4.73,0,3,31,6,3,192,Normal
1.95,jpg,1.14,1,4,20,2,1,130,Normal
9.02,js,15.75,6,29,243,22,3,420,Normal
15.37,bin,20.65,3,13,49,9,2,118,Suspicious
1.7,zip,9.28,1,5,5,2,1,6,Normal
13.88,docx,53.38,62,180,109,37,7,1,Suspicious
143.45,wav,11.21,1,19,66,12,1,143,Normal
5.52,exe,18.06,4,17,88,11,1,117,Suspicious
8.36,docx,14.04,5,45,349,19,3,365,Suspicious
260.77,mp4,16.91,7,21,326,12,3,233,Normal
5.72,png,16.06,9,26,670,25,1,199,Normal
11.6,pdf,25.72,7,59,263,24,4,690,Suspicious
17.52,zip,28.76,10,30,406,23,1,197,Normal
8.9,png,1.39,2,8,4,9,1,6,Normal
5.9,png,0.38,0,4,97,2,1,208,Normal
0.42,png,5.59,1,5,86,4,2,187,Normal
1.28,docx,0.46,0,8,4,4,1,2,Normal
8.91,png,4.96,1,5,54,4,1,292,Normal
4.31,docx,1.32,0,4,113,3,1,106,Normal
2.39,txt,1.11,0,6,38,6,1,191,Normal
4.28,txt,3.23,1,4,100,7,1,359,Normal
0.93,xlsx,0.37,0,5,81,6,3,69,Normal
3.08,pdf,4.11,3,7,94,9,1,186,Normal
10.6,py,15.81,15,50,204,21,1,432,Normal
253.25,png,3.87,4,20,91,12,3,153,Normal
0.97,py,18.49,9,22,580,16,1,339,Normal
0.29,jpg,1.33,1,4,43,8,1,99,Normal
2.32,jpg,1.29,1,3,33,8,1,121,Normal
394.15,wav,14.57,4,12,56,16,1,230,Normal
15.35,py,14.18,19,54,798,24,1,143,Normal
0.18,pdf,4.87,0,4,70,4,1,245,Normal
2.15,docx,4.9,1,2,106,4,1,161,Normal
85.49,wav,11.0,0,13,371,13,1,254,Normal
3.24,jpg,0.2,1,5,53,6,1,159,Normal
7.4,docx,12.7,0,1,5,4,1,9,Normal
13.39,pdf,5.66,0,5,4,8,1,3,Normal
35.51,exe,13.57,5,16,35,11,3,15,Suspicious
1.4,docx,0.83,1,4,101,9,1,131,Normal
60.65,zip,14.59,4,18,102,18,1,165,Normal
1.77,zip,20.91,13,26,296,25,3,280,Normal
8.89,png,2.41,1,2,25,5,1,159,Normal
2.62,pdf,2.93,0,11,100,2,1,245,Normal
6.41,zip,3.15,1,5,6,6,1,8,Normal
9.31,pdf,2.8,1,10,193,3,1,97,Normal
1.04,png,4.23,2,8,38,4,1,93,Normal
4.24,py,27.2,16,44,390,26,1,222,Normal
0.66,png,0.62,0,6,60,7,1,118,Normal
4.4,js,29.83,7,47,1047,24,2,362,Normal
1.51,docx,5.66,0,2,78,7,1,170,Normal
2.83,js,22.72,5,43,987,27,1,319,Normal
6.39,zip,32.81,22,44,338,24,2,219,Normal
210.75,bin,36.98,22,74,251,75,3,165,Suspicious
6.43,pdf,3.7,2,5,52,5,1,189,Normal
1.0,xlsx,5.14,0,3,157,7,1,158,Normal
36.08,vbs,15.38,3,13,63,14,4,117,Suspicious
229.81,wav,1.57,2,16,188,11,1,286,Normal
1.99,docx,13.56,10,29,311,32,6,780,Suspicious
3.53,docx,0.84,0,5,52,3,1,280,Normal
0.36,pdf,3.87,0,5,36,2,2,196,Normal
2.97,pdf,3.03,0,4,79,3,1,165,Normal
1.44,py,14.48,13,43,200,18,1,106,Normal
6.92,jpg,9.8,2,12,3,9,3,1,Normal
2.64,zip,7.17,11,66,228,23,2,271,Normal
3.3,docx,1.46,0,5,82,9,1,144,Normal
1.68,docx,0.87,0,3,8,5,1,206,Normal
0.65,txt,5.39,2,7,121,3,2,105,Normal
1.1,pdf,3.72,0,7,30,6,1,97,Normal
2.52,txt,2.16,0,5,52,11,1,101,Normal
4.55,png,4.45,1,3,101,4,1,119,Normal
30.65,json,5.71,22,41,611,22,1,370,Normal
40.92,json,10.28,15,33,652,30,3,341,Normal
9.43,pdf,0.56,1,2,181,6,1,315,Normal
2.34,jpg,3.29,2,8,146,3,1,127,Normal
0.18,jpg,2.1,1,3,56,3,1,83,Normal
1.13,pdf,4.64,1,6,72,9,1,172,Normal
3.13,txt,4.52,0,6,83,4,1,324,Normal
0.57,json,32.77,4,28,848,25,1,185,Normal
0.28,jpg,3.71,3,11,4,10,1,4,Normal
45.98,apk,6.88,8,19,65,9,1,12,Suspicious
29.66,py,70.76,48,163,42,73,4,21,Suspicious
0.48,png,2.86,2,6,48,3,1,105,Normal
12.35,exe,18.75,6,29,283,24,5,445,Suspicious
0.23,pdf,5.06,0,9,68,4,2,106,Normal
6.55,png,5.0,1,8,31,3,1,168,Normal
22.75,js,17.61,18,41,288,28,1,205,Normal
0.22,json,34.08,9,36,661,20,4,193,Normal
389.65,mp4,10.59,4,10,253,13,1,480,Normal
8.8,jpg,1.99,0,5,69,7,1,116,Normal
0.31,pdf,3.86,0,2,136,4,1,196,Normal
1.13,jpg,1.8,1,8,57,6,1,91,Normal
2.91,js,1.0,14,37,745,24,1,390,Normal
4.89,png,2.18,0,4,47,3,1,164,Normal
5.09,docx,5.56,1,6,172,9,1,389,Normal
21.91,docx,71.49,42,156,101,70,5,30,Suspicious
15.38,docx,1.19,2,6,26,6,1,135,Normal
11.51,js,16.61,15,59,358,26,1,240,Normal
145.54,iso,37.91,22,45,197,60,3,157,Suspicious
18.6,bat,10.99,3,10,61,7,2,114,Suspicious
0.85,pdf,2.07,1,6,69,8,2,156,Normal
1.94,txt,3.39,0,2,89,5,2,123,Normal
14.7,pdf,0.41,0,3,113,6,1,298,Normal
7.93,png,3.48,1,8,133,1,1,204,Normal
9.09,jpg,4.84,2,12,63,6,1,81,Normal
3.33,dll,30.61,3,32,260,14,5,820,Suspicious
5.77,docx,3.56,1,7,39,3,1,219,Normal
1.21,png,2.81,1,12,262,2,1,330,Normal
5.62,pdf,5.06,4,10,6,8,1,3,Normal
34.67,pdf,35.9,3,36,541,17,8,225,Suspicious
192.24,zip,10.87,0,8,169,10,1,87,Normal
0.84,txt,4.14,1,4,92,4,1,256,Normal
